logical_target_index	target_id	role	role_short	role_family	target_tau_fraction_of_peak	selection_target_wavelength_um	selection_distance_um	selection_distance_R2400_fwhm	dense_profile_row_zero_based	wavelength_um	observed_stitch_normalized_fnu_Jy	observed_random_error_conservative_proxy_Jy	observed_random_error_diagonal_operator_Jy	observed_tau_sparse_huber	observed_tau_random_error_flux_only_conservative_proxy	source_segment	native_run_id	stitch_scale_applied	inside_integration_band	source_dense_continuum_fit_point	continuum_support_for_sparse_fit	feature_tau_scored	relative_gain_sensitivity_segment	lsf_full_kernel_safety_sigma	lsf_full_kernel_lower_um	lsf_full_kernel_upper_um	source_native_run_min_um	source_native_run_max_um	gap_safe_in_actual_native_run	crosses_stitch_seam	stitch_seam_restriction_applied
0	h2o_3um_v3_w001	blue_continuum_wing	BC	continuum		2.6122960249124896	0	0	171	2.6122960249124896	0.10529375167450063	0.00012172046907548908	7.9923559400034704e-05	-0.010995798777594016	0.0011560084728652192	G235H	G235H_run01	1	False	True	True	False	G235H	5	2.6099859219877457	2.6146081725132135	2.4692259432049468	3.1693539229454473	True	False	False
1	h2o_3um_v3_w002	blue_outer_shoulder_tau25	B25	outer_shoulder	0.25	2.8571926860812811	1.1500416641219147e-05	0.0096601815038178211	809	2.8572041864979223	0.08133490754926341	9.75097041038498e-05	6.2501654915002672e-05	0.58761534628935441	0.0011988666003559362	G235H	G235H_run01	1	True	False	False	True	G235H	5	2.8546775066404817	2.8597331027239501	2.4692259432049468	3.1693539229454473	True	False	False
2	h2o_3um_v3_w003	blue_halfmax_shoulder_tau50	B50	halfmax_shoulder	0.5	2.9025649420082895	5.6886552879387153e-05	0.047036924113079588	921	2.9025080554554101	0.047723881603782395	6.3438366870179199e-05	4.102539670120223e-05	1.1727575526788416	0.0013292792777599913	G235H	G235H_run01	1	True	False	False	True	G235H	5	2.8999413125273286	2.9050770702119699	2.4692259432049468	3.1693539229454473	True	False	False
3	h2o_3um_v3_w004	blue_inner_shoulder_tau75	B75	inner_shoulder	0.75	2.9490717500723069	0.00012730459757914758	0.10360244174542821	1034	2.9489444454747278	0.02794264194234965	3.8829440877532239e-05	2.387851328967322e-05	1.7586685296215654	0.0013896123694260507	G235H	G235H_run01	1	True	False	False	True	G235H	5	2.9463366379661489	2.9515545611581144	2.4692259432049468	3.1693539229454473	True	False	False
4	h2o_3um_v3_w005	blue_core_tau90	B90	core	0.90000000000000002	3.0089775761253601	0.0002020338535091426	0.16114485274640047	1177	3.008775542271851	0.020917019679517358	2.8264400978002381e-05	1.7045646099690039e-05	2.1099318983958844	0.0013512632971168367	G235H	G235H_run01	1	True	False	False	True	G235H	5	3.0061148249895009	3.0114386145595384	2.4692259432049468	3.1693539229454473	True	True	False
5	h2o_3um_v3_w006	trough_core_peak_tau	P	core	1	3.0764795490679795	0	0	1294	3.0764795490679795	0.017574578035801525	3.1829846369328887e-05	2.2920111391865849e-05	2.3495291661829056	0.0018111300484419978	G395H	G395H_run00	0.98135823922484378	True	False	False	True	G395H	5	3.0737589598482127	3.0792025462858357	2.8703323855588678	4.0713223847851614	True	False	False
6	h2o_3um_v3_w007	red_core_tau90	R90	core	0.90000000000000002	3.1193208472572365	0.00010723875848084319	0.082509313070608686	1366	3.1192136084987556	0.023083327763057323	3.6887467120669925e-05	2.5743960990698185e-05	2.1161029277477601	0.0015980134016770674	G395H	G395H_run00	0.98135823922484378	True	False	False	True	G395H	5	3.1164552287396567	3.1219744297044141	2.8703323855588678	4.0713223847851614	True	False	False
7	h2o_3um_v3_w008	red_inner_shoulder_tau75	R75	inner_shoulder	0.75	3.1581036024003835	0.00019897584256067802	0.15121163909336643	1431	3.1583025782429441	0.034447987997623448	6.3351294110265585e-05	4.5350356850455894e-05	1.7503478238100381	0.0018390419235699968	G395H	G395H_run00	0.98135823922484378	True	False	False	True	G395H	5	3.1555096313664626	3.1610979971613986	2.8703323855588678	4.0713223847851614	True	False	False
8	h2o_3um_v3_w009	red_halfmax_shoulder_tau50	R50	halfmax_shoulder	0.5	3.2183070891181966	0.00014239117926484468	0.10618589860213194	1529	3.2181646979389318	0.064377701324001349	0.00011103341269663154	7.9037155165600836e-05	1.1757802768677648	0.0017247185036604587	G395H	G395H_run00	0.98135823922484378	True	False	False	True	G395H	5	3.215318813854541	3.2210131009201075	2.8703323855588678	4.0713223847851614	True	False	False
9	h2o_3um_v3_w010	red_outer_shoulder_tau25	R25	outer_shoulder	0.25	3.2964607568836932	0.00029187677686781655	0.2125019274141097	1654	3.2961688801068254	0.12253854384467218	0.00026881439982426959	0.0001825788344833556	0.59460788352372607	0.0021937130260419467	G395H	G395H_run00	0.98135823922484378	True	False	False	True	G395H	5	3.293254015444564	3.299086324720697	2.8703323855588678	4.0713223847851614	True	False	False
10	h2o_3um_v3_w011	red_continuum_wing	RC	continuum		3.5744323010028149	0	0	2077	3.5744323010028149	0.26994894244700973	0.0005192821077188894	0.00036108338740619902	0.00043641890205103765	0.001923630828154932	G395H	G395H_run00	0.98135823922484378	False	True	True	False	G395H	5	3.5712713627193668	3.5775960370380488	2.8703323855588678	4.0713223847851614	True	False	False
