lsf_node_global_index	parent_kind	parent_id	target_wavelength_um	lsf_node_index	lsf_node_wavelength_um	lsf_quadrature_weight	lsf_profile	target_resolving_power_R	model_input_representation	conversion_before_aggregation	aggregated_representation	source_segment	native_run_id	node_crosses_stitch_seam	stitch_seam_restriction_applied	scored_directly
0	logical_target	h2o_3um_v3_w001	2.6122960249124896	0	2.6109757956979753	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
1	logical_target	h2o_3um_v3_w001	2.6122960249124896	1	2.61166949575688	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
2	logical_target	h2o_3um_v3_w001	2.6122960249124896	2	2.6122960249124896	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
3	logical_target	h2o_3um_v3_w001	2.6122960249124896	3	2.612922704369959	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
4	logical_target	h2o_3um_v3_w001	2.6122960249124896	4	2.6136169216954976	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
5	logical_target	h2o_3um_v3_w002	2.8572041864979223	0	2.8557601830607644	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
6	logical_target	h2o_3um_v3_w002	2.8572041864979223	1	2.856518918936628	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
7	logical_target	h2o_3um_v3_w002	2.8572041864979223	2	2.8572041864979223	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
8	logical_target	h2o_3um_v3_w002	2.8572041864979223	3	2.8578896184521869	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
9	logical_target	h2o_3um_v3_w002	2.8572041864979223	4	2.8586489200895024	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
