task_index	phase	seed	parent_kind	parent_id	score_anchor_id	continuum_target_id	analysis_partition	source_table	source_table_sha256	source_row_sha256	target_wavelength_um	lsf_node_global_index	lsf_node_index	lsf_quadrature_weight	lsf_profile	target_resolving_power_R	wavelength_um	instrument	source_segment	native_run_id	model_input_representation	conversion_before_aggregation	aggregated_representation	wavelength_file	wavelength_file_sha256	spatial_config	zoom_token	nx	ny	expected_fov_au	expected_pixel_au	expected_cdelt_deg	aperture_name	east_arcsec	north_arcsec	aperture_radius_arcsec	model_index	model_label	mass_factor	envelope_size_exponent	cavity_tag	requested_half_opening_deg	cavity_h0_token	cavity_r0_token	cavity_exponent_token	mdot_token	inclination_deg	envelope_amin_um	envelope_amax_um	accepted_packets	rt_sed_method	processes_per_task	openmp_threads	temperature_file	temperature_file_sha256	temperature_role	optical_coverage_role	direct_scoring_role	h2o_mass_fraction	silicate_mass_fraction	abundance_token	reference_h2o_mass_fraction	source_phase	source_task_index	source_task_row_sha256	parameter_role	parameter	parameter_sha256	dust_role	task_workdir	task_row_sha256
0	full_h2o	52001	logical_target	h2o_3um_v3_w001	h2o_3um_v3_w001		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	fce5efbf3d6c71f41470de4414a9f72385ce37dec95ab55ac43bd347d15f2890	2.6122960249124896	0	0	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	2.6109757956979753	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w001/node00.lambda	f837effd132adde9de61efe712fb2649b30ffb3cf07b53647d3868fe89548263	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	continuum_wing_nuisance_not_scored	0.02	0.98	x0p02	0.05	full_h2o	0	9d4bc60e71c2f0df3fc519cbc969dbacba330894a5d18113f008985672bc16fb	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t000_h2o_3um_v3_w001_n00_s52001	07ec785da14276796979a5e7109073aa2ef65e8eeb65f62f26579431226a43c1
1	full_h2o	52001	logical_target	h2o_3um_v3_w001	h2o_3um_v3_w001		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	5f06e02e62fc5371f39ff6e6ff01b0c7dcf2a2b17836e4759ff72a4e17331804	2.6122960249124896	1	1	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	2.61166949575688	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w001/node01.lambda	c84d8d33dd33b6245a9793c7a03efa56538693ddd1e350f12834b20d0e870101	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	continuum_wing_nuisance_not_scored	0.02	0.98	x0p02	0.05	full_h2o	1	b2587ec26fbd3ec2912e8f706e21b0466fcd54c7f1962ba57cd4806e93bdc324	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t001_h2o_3um_v3_w001_n01_s52001	662fcccec1578a5197bef106d4535a635bd60d60d6297c8628547037decf2ef9
2	full_h2o	52001	logical_target	h2o_3um_v3_w001	h2o_3um_v3_w001		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	58bc6c470443af7cb492b693c964c357882ad9415420c0fc7bd62a9b66714bb0	2.6122960249124896	2	2	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	2.6122960249124896	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w001/node02.lambda	0e84cf42d019b3ce7e6fc4b3a1dcf0b0a714d3cf2c881c3522bad8daa6144c6a	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	continuum_wing_nuisance_not_scored	0.02	0.98	x0p02	0.05	full_h2o	2	632fd2f9203f647e721a3c59b1bd159a1aead06ed0ac7769f3412fe73d7b53ab	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t002_h2o_3um_v3_w001_n02_s52001	8aae7f6ad5ba081ffa124cc0142146fae880861b56557ae0d7914afeacdeab25
3	full_h2o	52001	logical_target	h2o_3um_v3_w001	h2o_3um_v3_w001		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	62a364aaf8152587832915ae241382b918d28af178a00494a9774559ac8e2d65	2.6122960249124896	3	3	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	2.612922704369959	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w001/node03.lambda	1cbbaebe9d60c3234b25e42d2e2ac549ab540ac4a9e3a3de23d4d7cc5cfc1d19	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	continuum_wing_nuisance_not_scored	0.02	0.98	x0p02	0.05	full_h2o	3	ee953d29062c6c52e2d035db941a3ebedc41e9f5d47eed933d6462614809e5c6	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t003_h2o_3um_v3_w001_n03_s52001	f63ebbc05b411d9bd5e70cfa8be5c7ab726c2c46b809dd4338a4cfe0d18e883c
4	full_h2o	52001	logical_target	h2o_3um_v3_w001	h2o_3um_v3_w001		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	9d83036bfb4d8ad14fe8a056c7e0f3043dade5e3d0a4b63b12e975b3ddc923a8	2.6122960249124896	4	4	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	2.6136169216954976	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w001/node04.lambda	34a619220145b1a7f32812f3f95f6037fbd3cbbbcc5687882aa35c347ad44da8	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	continuum_wing_nuisance_not_scored	0.02	0.98	x0p02	0.05	full_h2o	4	5bfeef029938644f48617604860d65a6764df00bffb99b65d42d38e2ed21fd62	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t004_h2o_3um_v3_w001_n04_s52001	b6ac36840a9cc888523c90be2c54c7540775227d6749d56c1217c4c31929c66f
5	full_h2o	52001	logical_target	h2o_3um_v3_w002	h2o_3um_v3_w002		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	4b88197ca527d73f256a92b7dd5667b318d90a151ef3c7f6448884dca52cd338	2.8572041864979223	5	0	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	2.8557601830607644	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w002/node00.lambda	05f54abdcf1f34d96cedeea53d3618dcaef49513f685edff368ddef4d3dbe5d9	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	feature_shape_scored	0.02	0.98	x0p02	0.05	full_h2o	5	4620df45c2c03c5fbab421f098e731029ced857763fd9f34bdaac3649cc651a4	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t005_h2o_3um_v3_w002_n00_s52001	3054f76a20b88ecf5f5b5630c7f955578de6f539dd569f176cc029e029e0c8c0
6	full_h2o	52001	logical_target	h2o_3um_v3_w002	h2o_3um_v3_w002		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	50b539675bd3fc2196b359f18bd839977b01cf46c56f578ebebbdb93bc0ad02b	2.8572041864979223	6	1	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	2.856518918936628	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w002/node01.lambda	1440409f1d3f053263f71d95121cd45d15a666f509471b6ddc9079bcb59ad250	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	feature_shape_scored	0.02	0.98	x0p02	0.05	full_h2o	6	ec6df5309656df032a31c6b49d7fca45810b337d9ec61894626cd441bf882c00	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t006_h2o_3um_v3_w002_n01_s52001	9164eae0f8ff4ad5c5254e54d92dd0bcd509a5e42b082e1a2f03520d519d45ce
7	full_h2o	52001	logical_target	h2o_3um_v3_w002	h2o_3um_v3_w002		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	d455ab9a88ba1a4c3ff62d32f9bdd59bb017783b66c4e8b98c3641f3e9b89cf0	2.8572041864979223	7	2	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	2.8572041864979223	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w002/node02.lambda	a62f238a516ba39528b9b6fcdfdda607da5c6ddd493183effbd3870e88b70a65	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	feature_shape_scored	0.02	0.98	x0p02	0.05	full_h2o	7	cca177bcdaf36d460ccf78c38ff4d07b2fec52b9922ebb66e227cf7e4fc9166e	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t007_h2o_3um_v3_w002_n02_s52001	bc31d5f4e030b04b8090d1c721548e5f11cc6c02b55971387d97977bcc528845
8	full_h2o	52001	logical_target	h2o_3um_v3_w002	h2o_3um_v3_w002		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	876446a15400f81541df81723dd7eaeeb4b3f1e64034f296a2b691b7254b8bb4	2.8572041864979223	8	3	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	2.8578896184521869	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w002/node03.lambda	214ae06aab6c78ec0d375d1f3a89e2deeaf109beb868021e97929cc9561c2bc3	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	feature_shape_scored	0.02	0.98	x0p02	0.05	full_h2o	8	df2a10804d1dedf9cf4831b40cd7ff5d1d8c12a1529f7503a32e9310045f423d	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t008_h2o_3um_v3_w002_n03_s52001	f5f1d4c4d1119419f28d42d0cb72cd08240d5b34985a0e9d4280a86a3683bb97
9	full_h2o	52001	logical_target	h2o_3um_v3_w002	h2o_3um_v3_w002		h2o_feature_optical_depth	jwst_mcfost/output/h2o_3um_observation_v3/stellar_center_h2o_target_lsf_nodes_R2400_v3.tsv	bc54da8f9e376921527db29400677e165b6e2f4aed158fd3aaa5162a66b325a7	8ca030766ecb004394ae6213f0712804a9f4f1532c8bd6f20340a9745c8692d4	2.8572041864979223	9	4	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	2.8586489200895024	NIRSpec	G235H	G235H_run01	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	jwst_mcfost/runs/h2o_3um_method2_screen_v3/anchors/full_h2o/logical_target/h2o_3um_v3_w002/node04.lambda	29f024a20bb28951e60b5d8f2ea289fa5320b9b998affa7ab3abb419bbc00364	expanded_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	stellar_center	0.0	0.0	0.35	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	2.75	c17p5	17.5	317.159480236321	100	1.0	7.3011756855e-08	70.0	0.03	0.4	128000	2	1	16	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature/seed=41001/data_th/Temperature.fits.gz	1bd212f2f54dd8c1701a6064e129ba7fdb5721cb3fe296472433bbdd3b79ec1c	reused_accepted_continuum_temperature_screening_only_not_self_consistent_for_changed_dust	inside_h2o_optical_constants	feature_shape_scored	0.02	0.98	x0p02	0.05	full_h2o	9	30c4ae956d37c53efc4b93e0aa82f575facfb858de0e50cc9926f4fcd011fdf7	h2o_selected_x0p02	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/parameters/h2o_x0p02_rt.para	1bf5e1b037fd810c4a875a51ee0c868e9e1ba6045f3e673249945ce67707bbbc	selected_h2o_disjoint_dhs_abundance_grid_screening_dust	jwst_mcfost/runs/h2o_3um_abundance_grid_v1/tasks/x0p02/t009_h2o_3um_v3_w002_n04_s52001	fad453007145b349033f21081d3aff57fcb889abb398d0255b52f73655de8718
