grid_model_index	model_label	mass_factor	envelope_dust_mass_msun	envelope_amax_um	envelope_size_exponent	execution	fresh_model_index	temperature_parameter	temperature_parameter_sha256	rt_parameter	rt_parameter_sha256	upstream_model_label
0	m2p00_a0p40_q3p25_i0p05	2.00	0.0002	0.40	3.25	fresh	0	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p25_i0p05/disk_envelope_m2p00_a0p40_q3p25_i0p05_temperature.para	b2d80b8fc76451288af90fe5baece43069b0a0a1c5cd4ddf6f55c5900d55c8be	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p25_i0p05/disk_envelope_m2p00_a0p40_q3p25_i0p05_rt.para	01bb0fe7a224e5ca72d5bb1b800987cc9dd3eb0941fe953658a4a97069126599	
1	m2p00_a0p40_q3p50_i0p05	2.00	0.0002	0.40	3.50	fresh	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_temperature.para	2a01566b68fc437ea3d0dfcc6df5d61b225d502032cdcc1315c9ccf1e17df695	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	
2	m2p00_a0p40_q3p75_i0p05	2.00	0.0002	0.40	3.75	fresh	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_temperature.para	9f9b301fd5d3ee918e17fa66ca1fa113882c88d83631345e340427d6132cb62c	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	
3	m2p00_a0p40_q4p00_i0p05	2.00	0.0002	0.40	4.00	fresh	3	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q4p00_i0p05/disk_envelope_m2p00_a0p40_q4p00_i0p05_temperature.para	b0d72ab935e8b3c3de4c61e4e76fe4f0f38bcc714f2d0f909c987b6cde28ef0a	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q4p00_i0p05/disk_envelope_m2p00_a0p40_q4p00_i0p05_rt.para	3a79fa4828e5506293e1f58e51d935bb1bd3ac8a756077289b9c0ff2e03d3a3e	
4	m2p00_a0p50_q3p25_i0p05	2.00	0.0002	0.50	3.25	fresh	4	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p25_i0p05/disk_envelope_m2p00_a0p50_q3p25_i0p05_temperature.para	5ad0349564418775c0b34f872fdc31645df75aad89cd06d40fe376df558ea964	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p25_i0p05/disk_envelope_m2p00_a0p50_q3p25_i0p05_rt.para	5a21d85be13223d205d023a6df3a093b376932b191ab6e64d3698c1831fd661a	
5	m2p00_a0p50_q3p50_i0p05	2.00	0.0002	0.50	3.50	upstream_reuse		jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p50_i0p05/disk_envelope_m2p00_a0p50_q3p50_i0p05_temperature.para	310d8e97f04a8783df630370ee74f5d38204a4a3ce311035f92bac8f03bce92c	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p50_i0p05/disk_envelope_m2p00_a0p50_q3p50_i0p05_rt.para	2a02b092455191897c32f918372080d7a9950f112814e58322e41dd8e7b54c45	m2p00_a0p50_i0p05
6	m2p00_a0p50_q3p75_i0p05	2.00	0.0002	0.50	3.75	fresh	5	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p75_i0p05/disk_envelope_m2p00_a0p50_q3p75_i0p05_temperature.para	56bf0649b6546f220727268f24cff7d851f3baef137cddf61633b66e6cb67af8	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p75_i0p05/disk_envelope_m2p00_a0p50_q3p75_i0p05_rt.para	d324c1483ed5ba91ada7d5e1a7ac95091fb6841f884d5d7fc3bb56c4355f1c0f	
7	m2p00_a0p50_q4p00_i0p05	2.00	0.0002	0.50	4.00	fresh	6	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q4p00_i0p05/disk_envelope_m2p00_a0p50_q4p00_i0p05_temperature.para	92d619b3442167c3b9205b8a4c55d9dbac0d8c67bea4d1bd36de0a95cd3bda6b	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q4p00_i0p05/disk_envelope_m2p00_a0p50_q4p00_i0p05_rt.para	ec7e6c937e40b8047202d039ced802aaf43a3ee92465e3c8a6fdd2be41032d36	
8	m2p00_a0p60_q3p25_i0p05	2.00	0.0002	0.60	3.25	fresh	7	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p25_i0p05/disk_envelope_m2p00_a0p60_q3p25_i0p05_temperature.para	f3ed3b4d55981e2f81b054de60fcd83f3d3724657e14b2682363fc2b2c80063e	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p25_i0p05/disk_envelope_m2p00_a0p60_q3p25_i0p05_rt.para	7ca3a8fab6a3174f87bb86b867ba130f3758099f5b09aecfb330787416b91538	
9	m2p00_a0p60_q3p50_i0p05	2.00	0.0002	0.60	3.50	upstream_reuse		jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p50_i0p05/disk_envelope_m2p00_a0p60_q3p50_i0p05_temperature.para	706c298341b3436cbc577e82593ef24fd041c1ada0da9ad1a72fa6bce8bb3842	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p50_i0p05/disk_envelope_m2p00_a0p60_q3p50_i0p05_rt.para	cd7c92aff5a5692816a0b8915587d121f2e974c8bca0b6a56fcd78559ee03521	m2p00_a0p60_i0p05
10	m2p00_a0p60_q3p75_i0p05	2.00	0.0002	0.60	3.75	fresh	8	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p75_i0p05/disk_envelope_m2p00_a0p60_q3p75_i0p05_temperature.para	d3502c906135c4215601a680d0d3ff99a189bd4a284ea928cd194cb52e255f7b	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p75_i0p05/disk_envelope_m2p00_a0p60_q3p75_i0p05_rt.para	07eb8f8e4567418d375b40fb70a98744882de665d39cbde3b1414399b5e7683a	
