task_index	fresh_model_index	grid_model_index	model_label	mass_factor	envelope_amax_um	envelope_size_exponent	parameter	parameter_sha256	task_workdir
0	0	0	m2p00_a0p40_q3p25_i0p05	2.00	0.40	3.25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p25_i0p05/disk_envelope_m2p00_a0p40_q3p25_i0p05_temperature.para	b2d80b8fc76451288af90fe5baece43069b0a0a1c5cd4ddf6f55c5900d55c8be	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p25_i0p05/temperature
1	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_temperature.para	2a01566b68fc437ea3d0dfcc6df5d61b225d502032cdcc1315c9ccf1e17df695	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature
2	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_temperature.para	9f9b301fd5d3ee918e17fa66ca1fa113882c88d83631345e340427d6132cb62c	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature
3	3	3	m2p00_a0p40_q4p00_i0p05	2.00	0.40	4.00	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q4p00_i0p05/disk_envelope_m2p00_a0p40_q4p00_i0p05_temperature.para	b0d72ab935e8b3c3de4c61e4e76fe4f0f38bcc714f2d0f909c987b6cde28ef0a	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q4p00_i0p05/temperature
4	4	4	m2p00_a0p50_q3p25_i0p05	2.00	0.50	3.25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p25_i0p05/disk_envelope_m2p00_a0p50_q3p25_i0p05_temperature.para	5ad0349564418775c0b34f872fdc31645df75aad89cd06d40fe376df558ea964	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p25_i0p05/temperature
5	5	6	m2p00_a0p50_q3p75_i0p05	2.00	0.50	3.75	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p75_i0p05/disk_envelope_m2p00_a0p50_q3p75_i0p05_temperature.para	56bf0649b6546f220727268f24cff7d851f3baef137cddf61633b66e6cb67af8	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q3p75_i0p05/temperature
6	6	7	m2p00_a0p50_q4p00_i0p05	2.00	0.50	4.00	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q4p00_i0p05/disk_envelope_m2p00_a0p50_q4p00_i0p05_temperature.para	92d619b3442167c3b9205b8a4c55d9dbac0d8c67bea4d1bd36de0a95cd3bda6b	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p50_q4p00_i0p05/temperature
7	7	8	m2p00_a0p60_q3p25_i0p05	2.00	0.60	3.25	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p25_i0p05/disk_envelope_m2p00_a0p60_q3p25_i0p05_temperature.para	f3ed3b4d55981e2f81b054de60fcd83f3d3724657e14b2682363fc2b2c80063e	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p25_i0p05/temperature
8	8	10	m2p00_a0p60_q3p75_i0p05	2.00	0.60	3.75	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p75_i0p05/disk_envelope_m2p00_a0p60_q3p75_i0p05_temperature.para	d3502c906135c4215601a680d0d3ff99a189bd4a284ea928cd194cb52e255f7b	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q3p75_i0p05/temperature
9	9	11	m2p00_a0p60_q4p00_i0p05	2.00	0.60	4.00	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q4p00_i0p05/disk_envelope_m2p00_a0p60_q4p00_i0p05_temperature.para	7eae81d26b6c2a95721aecbd570aa71b53c4f7d868a0862b9ec06eda85d4da5c	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p60_q4p00_i0p05/temperature
