task_index	model_index	model_label	mass_factor	envelope_dust_mass_msun	cavity_tag	requested_half_opening_deg	cavity_h0_token	cavity_r0_token	cavity_exponent_token	emptied_polar_center_rows	envelope_amax_um	envelope_size_exponent	envelope_ice_fraction	inclination_deg	mdot_token	parameter	parameter_sha256	task_workdir
0	0	m2p25_c15p0_a0p40_q2p75_i0p05	2.25	0.000225	c15p0	15.0	373.205080756888	100	1.0	2	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c15p0_a0p40_q2p75_i0p05/disk_envelope_m2p25_c15p0_a0p40_q2p75_i0p05_temperature.para	c6ecc016cbcb4ee8596913f178325d9254a36e60cb0f1db753fce93af334b915	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c15p0_a0p40_q2p75_i0p05/temperature
1	1	m2p25_c17p5_a0p40_q2p75_i0p05	2.25	0.000225	c17p5	17.5	317.159480236321	100	1.0	3	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/disk_envelope_m2p25_c17p5_a0p40_q2p75_i0p05_temperature.para	c6ecc016cbcb4ee8596913f178325d9254a36e60cb0f1db753fce93af334b915	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q2p75_i0p05/temperature
2	2	m2p25_c20p0_a0p40_q2p75_i0p05	2.25	0.000225	c20p0	20.0	274.7	100	1.0	4	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c20p0_a0p40_q2p75_i0p05/disk_envelope_m2p25_c20p0_a0p40_q2p75_i0p05_temperature.para	c6ecc016cbcb4ee8596913f178325d9254a36e60cb0f1db753fce93af334b915	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c20p0_a0p40_q2p75_i0p05/temperature
3	3	m2p25_c22p0_a0p40_q2p75_i0p05	2.25	0.000225	c22p0	22.0	247.508685341630	100	1.0	5	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c22p0_a0p40_q2p75_i0p05/disk_envelope_m2p25_c22p0_a0p40_q2p75_i0p05_temperature.para	c6ecc016cbcb4ee8596913f178325d9254a36e60cb0f1db753fce93af334b915	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c22p0_a0p40_q2p75_i0p05/temperature
4	4	m2p25_c24p0_a0p40_q2p75_i0p05	2.25	0.000225	c24p0	24.0	224.603677390422	100	1.0	6	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c24p0_a0p40_q2p75_i0p05/disk_envelope_m2p25_c24p0_a0p40_q2p75_i0p05_temperature.para	c6ecc016cbcb4ee8596913f178325d9254a36e60cb0f1db753fce93af334b915	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c24p0_a0p40_q2p75_i0p05/temperature
5	5	m2p25_c15p0_a0p40_q3p00_i0p05	2.25	0.000225	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c15p0_a0p40_q3p00_i0p05/disk_envelope_m2p25_c15p0_a0p40_q3p00_i0p05_temperature.para	bb1c1e0d0d63e52f4998c28d26226874c66b47f75e1fe62702f1d96ffe7716fc	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c15p0_a0p40_q3p00_i0p05/temperature
6	6	m2p25_c17p5_a0p40_q3p00_i0p05	2.25	0.000225	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q3p00_i0p05/disk_envelope_m2p25_c17p5_a0p40_q3p00_i0p05_temperature.para	bb1c1e0d0d63e52f4998c28d26226874c66b47f75e1fe62702f1d96ffe7716fc	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q3p00_i0p05/temperature
7	7	m2p25_c20p0_a0p40_q3p00_i0p05	2.25	0.000225	c20p0	20.0	274.7	100	1.0	4	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c20p0_a0p40_q3p00_i0p05/disk_envelope_m2p25_c20p0_a0p40_q3p00_i0p05_temperature.para	bb1c1e0d0d63e52f4998c28d26226874c66b47f75e1fe62702f1d96ffe7716fc	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c20p0_a0p40_q3p00_i0p05/temperature
8	8	m2p25_c22p0_a0p40_q3p00_i0p05	2.25	0.000225	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c22p0_a0p40_q3p00_i0p05/disk_envelope_m2p25_c22p0_a0p40_q3p00_i0p05_temperature.para	bb1c1e0d0d63e52f4998c28d26226874c66b47f75e1fe62702f1d96ffe7716fc	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c22p0_a0p40_q3p00_i0p05/temperature
9	9	m2p25_c24p0_a0p40_q3p00_i0p05	2.25	0.000225	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c24p0_a0p40_q3p00_i0p05/disk_envelope_m2p25_c24p0_a0p40_q3p00_i0p05_temperature.para	bb1c1e0d0d63e52f4998c28d26226874c66b47f75e1fe62702f1d96ffe7716fc	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c24p0_a0p40_q3p00_i0p05/temperature
