anchor_ordinal	anchor_tag	region	bin_index	wavelength_um	wavelength_token	instrument	detector_row_count	detector_row_indices	detector_rows	boundary_compromise	spatial_config	zoom_token	nx	ny	expected_fov_au	expected_pixel_au	expected_cdelt_deg	psf_fwhm_arcsec	wavelength_file	wavelength_file_sha256
0	w000	near_ir_short	2	0.9946761707696127	0.9946761707696127	NIRSpec	1	2	2:NIRSpec:G140H_F100LP	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.032824313635397222	jwst_mcfost/runs/strict_continuum_screen/anchors/w000/strict_continuum_anchor.lambda	5e0fe7e726e460092394135e5d86a4f329f3adf9446ff8f022ee68ce91e8928e
1	w001	near_ir_short	21	1.2028117593024095	1.2028117593024095	NIRSpec	1	21	21:NIRSpec:G140H_F100LP	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.039692788056979511	jwst_mcfost/runs/strict_continuum_screen/anchors/w001/strict_continuum_anchor.lambda	334e806dac74f3cab0db03b39807968472f2e194cb77ac7d5efc0c9e0d0a305e
2	w002	near_ir_short	43	1.4987957445436022	1.4987957445436022	NIRSpec	1	35	35:NIRSpec:G140H_F100LP	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.049460259569938873	jwst_mcfost/runs/strict_continuum_screen/anchors/w002/strict_continuum_anchor.lambda	132b8ae57ad0eddc7816e3f45e121643727120e30a1d5ab9708202d2a9310d54
3	w003	near_ir_rise	59	1.7588530996181813	1.7588530996181813	NIRSpec	2	51,60	51:NIRSpec:G140H_F100LP;60:NIRSpec:G235H_F170LP	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.058042152287399985	jwst_mcfost/runs/strict_continuum_screen/anchors/w003/strict_continuum_anchor.lambda	90ac5acad1cc9a08e5697ce6d65ffd414b4b9f8cdea8cade92e91a9025a2a68e
4	w004	near_ir_rise	81	2.1916659199557045	2.1916659199557045	NIRSpec	1	76	76:NIRSpec:G235H_F170LP	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.072324975358538254	jwst_mcfost/runs/strict_continuum_screen/anchors/w004/strict_continuum_anchor.lambda	651e2bf7f7383323e2c48df2e732fe3cc01f7c5816c25ccc82154fd902c5f7a4
5	w005	near_ir_rise	96	2.546352514425122	2.546352514425122	NIRSpec	1	85	85:NIRSpec:G235H_F170LP	true	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.084029632976029028	jwst_mcfost/runs/strict_continuum_screen/anchors/w005/strict_continuum_anchor.lambda	9a4c5d5cdb08e1cfbcaa2b5b0eb958d5026b54a4ecfae6683606dcf96e8edb75
6	w006	window_3p9	139	3.9143995604061015	3.9143995604061015	NIRSpec	1	139	139:NIRSpec:G395H_F290LP	true	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.12917518549340135	jwst_mcfost/runs/strict_continuum_screen/anchors/w006/strict_continuum_anchor.lambda	c0f32299968b99649726432a9298eb8e93020139584fa61fd0f35fa3abaab4e0
7	w007	window_5p4	171	5.3906283153397085	5.3906283153397085	MIRI	1	172	172:MIRI:CH1_short	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.28389073440621038	jwst_mcfost/runs/strict_continuum_screen/anchors/w007/strict_continuum_anchor.lambda	d04ad31c2c028e1669b8a052960e0edcf8bb08a87f52c27820b2fb215fc11399
8	w008	window_13p8	265	13.799908320389276	13.799908320389276	MIRI	1	277	277:MIRI:CH3_medium	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.5613969745728461	jwst_mcfost/runs/strict_continuum_screen/anchors/w008/strict_continuum_anchor.lambda	dc00d786476769c0d6165f9b9aea7c4cbe1e85dc4b0bc2512f8e12e8ce9d942b
9	w009	window_27p5	334	27.513091575690556	27.513091575690556	MIRI	1	353	353:MIRI:CH4_long	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	1.0139320219977885	jwst_mcfost/runs/strict_continuum_screen/anchors/w009/strict_continuum_anchor.lambda	7d1ac3036216489ffa93c81d5de564ce57ec16820cf043dfb5a36c68cd83f6bd
