model_index	model_label	mass_factor	envelope_dust_mass_msun	envelope_amax_um	envelope_ice_fraction	envelope_core_fraction	envelope_amin_um	envelope_size_exponent	workdir	temperature_parameter	temperature_parameter_sha256	rt_parameter	rt_parameter_sha256
0	m1p25_a0p10_i0p05	1.25	0.000125	0.10	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p10_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p10_i0p05/disk_envelope_m1p25_a0p10_i0p05_temperature.para	79769b39b7328636e316b9fffbeb03b023cfe51320dc3d410ee294b003ebf5ae	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p10_i0p05/disk_envelope_m1p25_a0p10_i0p05_rt.para	45152018cef34b6b06dfad68bd8b4dce501262de0be8427439e421ebe85c9f13
1	m1p25_a0p20_i0p05	1.25	0.000125	0.20	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p20_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p20_i0p05/disk_envelope_m1p25_a0p20_i0p05_temperature.para	8eecfb78148f72905147bdbe6aacf1ed115017d784ef3eacf96bf81739e803dc	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p20_i0p05/disk_envelope_m1p25_a0p20_i0p05_rt.para	bac80674c03183f4659cdd2c9a3ea260d847064a527b707f3e451383435dbf52
2	m1p25_a0p35_i0p05	1.25	0.000125	0.35	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p35_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p35_i0p05/disk_envelope_m1p25_a0p35_i0p05_temperature.para	e19080c1632052ede564b2ac226a3c1863fc1d0259f262ad2235dceedff47adc	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p35_i0p05/disk_envelope_m1p25_a0p35_i0p05_rt.para	23b9bc57d95d954b1ca5c62ba1d198de65a90db52421e83910de4282a6a35564
3	m1p25_a0p50_i0p05	1.25	0.000125	0.50	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p50_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p50_i0p05/disk_envelope_m1p25_a0p50_i0p05_temperature.para	08ffecf2701842adcf69b9394f9f7a29d2fd9bf109cfbbcf5f87b9c6761bb481	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p50_i0p05/disk_envelope_m1p25_a0p50_i0p05_rt.para	e3fc3d6ac990ecd28e78d29e95bf3004fc3f84da2980445d9a58a945dc08c5fd
4	m1p50_a0p10_i0p05	1.50	0.00015	0.10	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p10_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p10_i0p05/disk_envelope_m1p50_a0p10_i0p05_temperature.para	f85bfe1cc470e0350da180d5654f4883cbfdb79c3bf05b63f8dc7d0b400e5513	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p10_i0p05/disk_envelope_m1p50_a0p10_i0p05_rt.para	98f98891a302ba6ddfe7407195762187de8b7c0701ef05a40dc3bde302a9a480
5	m1p50_a0p20_i0p05	1.50	0.00015	0.20	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p20_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p20_i0p05/disk_envelope_m1p50_a0p20_i0p05_temperature.para	e2d60b4a9f82ddcbca9b80b5936c2a11e4ffb8db38f965055ddb28d347e2deb0	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p20_i0p05/disk_envelope_m1p50_a0p20_i0p05_rt.para	577990d8a9d1159bea07652c3b9a32f6c395c15ddc95ea6ac9727a55d0f39712
6	m1p50_a0p35_i0p05	1.50	0.00015	0.35	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p35_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p35_i0p05/disk_envelope_m1p50_a0p35_i0p05_temperature.para	37f5ae645ff0cd253629e74d00423c7e9da432ff900b0ecce1d6143388736dc2	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p35_i0p05/disk_envelope_m1p50_a0p35_i0p05_rt.para	4a24e98ef5dcf99df95f9a8421000cf02180c6cd8a4561505ff8d86993af0e01
7	m1p50_a0p50_i0p05	1.50	0.00015	0.50	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p50_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p50_i0p05/disk_envelope_m1p50_a0p50_i0p05_temperature.para	3d693fedb991518675985a4e83295daa3f147baaf7131cfb2bb1ab87988c2dd2	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p50_i0p05/disk_envelope_m1p50_a0p50_i0p05_rt.para	ac122143d66e81cc851f5981acd507f334ad6d2c81eddeaadc3d0b8b9a97aec4
8	m1p75_a0p10_i0p05	1.75	0.000175	0.10	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p10_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p10_i0p05/disk_envelope_m1p75_a0p10_i0p05_temperature.para	c7e40b6b22640ed4e4cb59d601186782218ddfcf93d6da89e5927f90b41718a3	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p10_i0p05/disk_envelope_m1p75_a0p10_i0p05_rt.para	d2d1db46c828da7465b26f18a5dd211e1da3475b43ade0e3e4bc2839d74a084f
9	m1p75_a0p20_i0p05	1.75	0.000175	0.20	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p20_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p20_i0p05/disk_envelope_m1p75_a0p20_i0p05_temperature.para	61819bbe61cbe7f49e3b0d7541da61f69e7018647acf1cc91e65962dc13ba57a	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p20_i0p05/disk_envelope_m1p75_a0p20_i0p05_rt.para	b59b7bf5495c4c07b48aa2f46a2387f28448b094eeaa6638a09633630611e2cf
10	m1p75_a0p35_i0p05	1.75	0.000175	0.35	0.05	0.95	0.03	3.5	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p35_i0p05	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p35_i0p05/disk_envelope_m1p75_a0p35_i0p05_temperature.para	e5f94a4a12f305ea2c4196c64226632d7443d0eeb9ddb6fb742f5179c341f060	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p35_i0p05/disk_envelope_m1p75_a0p35_i0p05_rt.para	c37947930983858c3ad35535472ee329526f0878473df19dea7e415a1ba113c9
