task_index	model_index	model_label	mass_factor	envelope_amax_um	parameter	parameter_sha256	task_workdir
0	0	m1p25_a0p10_i0p05	1.25	0.10	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p10_i0p05/disk_envelope_m1p25_a0p10_i0p05_temperature.para	79769b39b7328636e316b9fffbeb03b023cfe51320dc3d410ee294b003ebf5ae	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p10_i0p05/temperature
1	1	m1p25_a0p20_i0p05	1.25	0.20	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p20_i0p05/disk_envelope_m1p25_a0p20_i0p05_temperature.para	8eecfb78148f72905147bdbe6aacf1ed115017d784ef3eacf96bf81739e803dc	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p20_i0p05/temperature
2	2	m1p25_a0p35_i0p05	1.25	0.35	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p35_i0p05/disk_envelope_m1p25_a0p35_i0p05_temperature.para	e19080c1632052ede564b2ac226a3c1863fc1d0259f262ad2235dceedff47adc	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p35_i0p05/temperature
3	3	m1p25_a0p50_i0p05	1.25	0.50	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p50_i0p05/disk_envelope_m1p25_a0p50_i0p05_temperature.para	08ffecf2701842adcf69b9394f9f7a29d2fd9bf109cfbbcf5f87b9c6761bb481	jwst_mcfost/runs/strict_continuum_screen/models/m1p25_a0p50_i0p05/temperature
4	4	m1p50_a0p10_i0p05	1.50	0.10	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p10_i0p05/disk_envelope_m1p50_a0p10_i0p05_temperature.para	f85bfe1cc470e0350da180d5654f4883cbfdb79c3bf05b63f8dc7d0b400e5513	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p10_i0p05/temperature
5	5	m1p50_a0p20_i0p05	1.50	0.20	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p20_i0p05/disk_envelope_m1p50_a0p20_i0p05_temperature.para	e2d60b4a9f82ddcbca9b80b5936c2a11e4ffb8db38f965055ddb28d347e2deb0	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p20_i0p05/temperature
6	6	m1p50_a0p35_i0p05	1.50	0.35	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p35_i0p05/disk_envelope_m1p50_a0p35_i0p05_temperature.para	37f5ae645ff0cd253629e74d00423c7e9da432ff900b0ecce1d6143388736dc2	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p35_i0p05/temperature
7	7	m1p50_a0p50_i0p05	1.50	0.50	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p50_i0p05/disk_envelope_m1p50_a0p50_i0p05_temperature.para	3d693fedb991518675985a4e83295daa3f147baaf7131cfb2bb1ab87988c2dd2	jwst_mcfost/runs/strict_continuum_screen/models/m1p50_a0p50_i0p05/temperature
8	8	m1p75_a0p10_i0p05	1.75	0.10	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p10_i0p05/disk_envelope_m1p75_a0p10_i0p05_temperature.para	c7e40b6b22640ed4e4cb59d601186782218ddfcf93d6da89e5927f90b41718a3	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p10_i0p05/temperature
9	9	m1p75_a0p20_i0p05	1.75	0.20	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p20_i0p05/disk_envelope_m1p75_a0p20_i0p05_temperature.para	61819bbe61cbe7f49e3b0d7541da61f69e7018647acf1cc91e65962dc13ba57a	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p20_i0p05/temperature
10	10	m1p75_a0p35_i0p05	1.75	0.35	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p35_i0p05/disk_envelope_m1p75_a0p35_i0p05_temperature.para	e5f94a4a12f305ea2c4196c64226632d7443d0eeb9ddb6fb742f5179c341f060	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p35_i0p05/temperature
11	11	m1p75_a0p50_i0p05	1.75	0.50	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p50_i0p05/disk_envelope_m1p75_a0p50_i0p05_temperature.para	2661a1137271eef4672d133f7cde6516cd09e7d6d14027948a5ac8c7b1a6f85c	jwst_mcfost/runs/strict_continuum_screen/models/m1p75_a0p50_i0p05/temperature
12	12	m2p00_a0p10_i0p05	2.00	0.10	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p10_i0p05/disk_envelope_m2p00_a0p10_i0p05_temperature.para	510348ed907b35ee1d77dd0162041f6f5f252a6b6a6c5d89fff54d8f9330386d	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p10_i0p05/temperature
13	13	m2p00_a0p20_i0p05	2.00	0.20	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p20_i0p05/disk_envelope_m2p00_a0p20_i0p05_temperature.para	5369bdded540057e98a1ac3e40d9795edf76df4c47bb542c4a9bd56698d77e5c	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p20_i0p05/temperature
14	14	m2p00_a0p35_i0p05	2.00	0.35	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p35_i0p05/disk_envelope_m2p00_a0p35_i0p05_temperature.para	55913e0750a5002a5ed4aa8274534007357d7110591ed544abb0f6ad7f1ffccf	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p35_i0p05/temperature
15	15	m2p00_a0p50_i0p05	2.00	0.50	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p50_i0p05/disk_envelope_m2p00_a0p50_i0p05_temperature.para	310d8e97f04a8783df630370ee74f5d38204a4a3ce311035f92bac8f03bce92c	jwst_mcfost/runs/strict_continuum_screen/models/m2p00_a0p50_i0p05/temperature
