path,bytes,category
.DS_Store,49156,regenerable_cache
.mplconfig/fontlist-v390.json,125096,review_before_moving
CMQ_HIGHN_CONVERGENCE_V2.md,1617,historical_documentation
CMQ_TECHNICAL_RECOVERY_V1.md,5057,historical_documentation
CONTINUE_HERE.md,103610,historical_documentation
H2O_3UM_ABUNDANCE_GRID_V1.md,9667,historical_documentation
H2O_3UM_DUST_AXIS_GRID_V1.md,18741,historical_documentation
H2O_3UM_METHOD2_CANCELLED_CONVERGENCE_ARCHIVE_V1.md,5112,historical_documentation
H2O_3UM_METHOD2_FIELD_PILOT_V3_RESULT.md,5097,historical_documentation
H2O_3UM_METHOD2_POSTPILOT_GUARD_FIELD_RECOVERY_V1.md,8556,historical_documentation
H2O_3UM_METHOD2_POSTPILOT_V1.md,4079,historical_documentation
H2O_3UM_METHOD2_SCREEN_V1.md,7183,historical_documentation
H2O_3UM_METHOD2_SCREEN_V1_SUPPLEMENT.md,5209,historical_documentation
H2O_3UM_METHOD2_SCREEN_V3.md,6263,historical_documentation
H2O_3UM_OBSERVATION_V2.md,3639,historical_documentation
H2O_3UM_OBSERVATION_V2_FAILED_PREFLIGHT.md,1864,historical_documentation
H2O_3UM_OBSERVATION_V3.md,5557,historical_documentation
H2O_3UM_OPACITY_RESCORE_V2.md,4757,historical_documentation
H2O_3UM_OPACITY_SCREEN_V1.md,3073,historical_documentation
HIGH_PHOTON_ARRAY_RECOVERY.md,4430,historical_documentation
ICE_ANALYSIS_REANALYSIS_REQUEST.md,14032,historical_documentation
ICE_FEATURE_METHOD2_PILOT_V1.md,6593,historical_documentation
ICE_FEATURE_METHOD2_PILOT_V2.md,10604,historical_documentation
ICE_INPUTS_INTEGRATION_PLAN.md,12990,historical_documentation
LITERATURE_BOUNDARY_CLUSTER.md,3600,historical_documentation
LITERATURE_SCREEN_CLUSTER.md,3383,historical_documentation
README.md,27298,historical_documentation
SOURCE128K_UNIFORM_V2_V1_REPROCESSING.md,7394,historical_documentation
STRICT_CONTINUUM_CAVITY_MASS_Q_TASK371_HIGHN_CONVERGENCE_V1.md,2623,historical_documentation
STRICT_CONTINUUM_CAVITY_MASS_Q_TASK371_HIGHN_CONVERGENCE_V2.md,4809,historical_documentation
UNIFORM_V2_REPROCESSING.md,2071,historical_documentation
UNIFORM_V2_V2_REPROCESSING.md,5274,historical_documentation
__pycache__/adjudicate_cmq_highn_convergence_v2.cpython-312.pyc,8829,regenerable_cache
__pycache__/adjudicate_h2o_3um_method2_postpilot_guard_field_recovery_v1.cpython-312.pyc,30189,regenerable_cache
__pycache__/adjudicate_strict_continuum_cavity_mass_q_task371_highn_convergence_v1.cpython-312.pyc,12612,regenerable_cache
__pycache__/adjudicate_strict_continuum_cavity_mass_q_task371_highn_convergence_v2.cpython-312.pyc,23290,regenerable_cache
__pycache__/adjudicate_strict_continuum_task22_recovery.cpython-312.pyc,26923,regenerable_cache
__pycache__/analyze_aperture_normalization_convergence.cpython-312.pyc,51263,regenerable_cache
__pycache__/analyze_aperture_spatial_convergence.cpython-312.pyc,23040,regenerable_cache
__pycache__/analyze_aperture_spatial_convergence_stage2.cpython-312.pyc,20083,regenerable_cache
__pycache__/analyze_aperture_spatial_convergence_stage3.cpython-312.pyc,20358,regenerable_cache
__pycache__/analyze_aperture_spatial_convergence_stage4.cpython-312.pyc,46340,regenerable_cache
__pycache__/analyze_aperture_spatial_convergence_stage4b.cpython-312.pyc,80255,regenerable_cache
__pycache__/analyze_cavity_opening_test.cpython-312.pyc,14525,regenerable_cache
__pycache__/analyze_component_rt2_pilot.cpython-312.pyc,40446,regenerable_cache
__pycache__/analyze_dust_grid_screen.cpython-312.pyc,27823,regenerable_cache
__pycache__/analyze_dust_refinement_screen.cpython-312.pyc,36463,regenerable_cache
__pycache__/analyze_envelope_mass_test.cpython-312.pyc,13562,regenerable_cache
__pycache__/analyze_feature_grid_screen.cpython-312.pyc,103622,regenerable_cache
__pycache__/analyze_h2o_3um_abundance_grid_v1.cpython-312.pyc,19914,regenerable_cache
__pycache__/analyze_h2o_3um_dust_axis_band_v1.cpython-312.pyc,7466,regenerable_cache
__pycache__/analyze_h2o_3um_dust_axis_grid_v1.cpython-312.pyc,18801,regenerable_cache
__pycache__/analyze_h2o_3um_method2_postpilot_v1.cpython-312.pyc,74863,regenerable_cache
__pycache__/analyze_h2o_3um_method2_screen_v1.cpython-312.pyc,31171,regenerable_cache
__pycache__/analyze_h2o_3um_method2_screen_v1.cpython-39.pyc,21521,regenerable_cache
__pycache__/analyze_high_photon_feature_sed.cpython-312.pyc,55039,regenerable_cache
__pycache__/analyze_ice_feature_method2_pilot_v2_convergence.cpython-312.pyc,26040,regenerable_cache
__pycache__/analyze_ice_feature_method2_pilot_v2_wider.cpython-312.pyc,48423,regenerable_cache
__pycache__/analyze_inclination_test.cpython-312.pyc,10895,regenerable_cache
__pycache__/analyze_literature_boundary.cpython-312.pyc,51983,regenerable_cache
__pycache__/analyze_literature_screen.cpython-312.pyc,49452,regenerable_cache
__pycache__/analyze_strict_continuum_3d_q_v1.cpython-312.pyc,84159,regenerable_cache
__pycache__/analyze_strict_continuum_3d_q_v1.cpython-39.pyc,52427,regenerable_cache
__pycache__/analyze_strict_continuum_3d_q_v1_task024_seed41002_recovery_v1.cpython-312.pyc,22502,regenerable_cache
__pycache__/analyze_strict_continuum_3d_q_v1_task024_seed41002_recovery_v1.cpython-39.pyc,13702,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_source128k_uniform_v2_v1.cpython-312.pyc,66447,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_source128k_uniform_v2_v1.cpython-39.pyc,41113,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_uniform_v2_v1.cpython-312.pyc,75321,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_uniform_v2_v1.cpython-39.pyc,48040,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_uniform_v2_v2.cpython-312.pyc,40737,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_v1.cpython-312.pyc,86158,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_v1.cpython-39.pyc,53567,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_v1_task002_seed41002_recovered_v1.cpython-312.pyc,38401,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1.cpython-312.pyc,36530,regenerable_cache
__pycache__/analyze_strict_continuum_cavity_mass_v1.cpython-312.pyc,82112,regenerable_cache
__pycache__/analyze_strict_continuum_refinement_v1.cpython-312.pyc,118894,regenerable_cache
__pycache__/analyze_strict_continuum_refinement_v1.cpython-39.pyc,71699,regenerable_cache
__pycache__/analyze_strict_continuum_refinement_v1_support_v1.cpython-312.pyc,70485,regenerable_cache
__pycache__/analyze_strict_continuum_screen.cpython-312.pyc,47801,regenerable_cache
__pycache__/analyze_strict_continuum_screen_amended_v1.cpython-312.pyc,44089,regenerable_cache
__pycache__/analyze_strict_continuum_screen_polarized_plane0_v2.cpython-312.pyc,31265,regenerable_cache
__pycache__/analyze_strict_continuum_screen_polarized_plane0_v3.cpython-312.pyc,36181,regenerable_cache
__pycache__/analyze_strict_continuum_screen_recovery_v2.cpython-312.pyc,22570,regenerable_cache
__pycache__/archive_h2o_3um_method2_screen_v1_convergence_attempt.cpython-312.pyc,69905,regenerable_cache
__pycache__/assess_component_rt2_pilot_benchmark.cpython-312.pyc,18189,regenerable_cache
__pycache__/assess_matched_method2_nearir_benchmark.cpython-312.pyc,5119,regenerable_cache
__pycache__/audit_ice_input_package.cpython-312.pyc,21892,regenerable_cache
__pycache__/audit_strict_continuum_cavity_mass_q_task371_source_v1.cpython-312.pyc,12574,regenerable_cache
__pycache__/audit_strict_continuum_cavity_mass_q_task371_source_v2.cpython-312.pyc,13135,regenerable_cache
__pycache__/audit_strict_continuum_partial.cpython-312.pyc,12767,regenerable_cache
__pycache__/authorize_h2o_3um_abundance_grid_v1.cpython-312.pyc,5404,regenerable_cache
__pycache__/authorize_h2o_3um_dust_axis_band_v1.cpython-312.pyc,6219,regenerable_cache
__pycache__/authorize_h2o_3um_dust_axis_grid_v1.cpython-312.pyc,6215,regenerable_cache
__pycache__/authorize_h2o_3um_method2_postpilot_guard_field_recovery_v1.cpython-312.pyc,7668,regenerable_cache
__pycache__/authorize_h2o_3um_method2_postpilot_v1.cpython-312.pyc,9740,regenerable_cache
__pycache__/build_h2o_3um_abundance_grid_v1_inputs.cpython-312.pyc,4242,regenerable_cache
__pycache__/build_h2o_3um_dust_axis_band_v1_inputs.cpython-312.pyc,5391,regenerable_cache
__pycache__/build_h2o_3um_dust_axis_grid_v1_inputs.cpython-312.pyc,5391,regenerable_cache
__pycache__/build_h2o_3um_method2_postpilot_guard_field_recovery_v1_inventory.cpython-312.pyc,39834,regenerable_cache
__pycache__/build_h2o_3um_opacity_screen_v1.cpython-312.pyc,30412,regenerable_cache
__pycache__/build_h2o_3um_opacity_screen_v1.cpython-39.pyc,19865,regenerable_cache
__pycache__/build_ice_feature_anchor_contract.cpython-312.pyc,33168,regenerable_cache
__pycache__/build_ice_feature_method2_pilot_v2_completion_index.cpython-312.pyc,48413,regenerable_cache
__pycache__/build_ice_feature_method2_pilot_v2_wider_completion_index.cpython-312.pyc,23932,regenerable_cache
__pycache__/build_reproducible_ice_h2o_audit_v1.cpython-312.pyc,67155,regenerable_cache
__pycache__/build_reproducible_ice_h2o_audit_v1.cpython-39.pyc,37966,regenerable_cache
__pycache__/build_strict_continuum_cavity_mass_q_v1_task002_seed41002_recovered_v1_index.cpython-312.pyc,35094,regenerable_cache
__pycache__/build_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1_completion_index.cpython-312.pyc,13691,regenerable_cache
__pycache__/build_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1_recovery_map.cpython-312.pyc,45598,regenerable_cache
__pycache__/build_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1_registry.cpython-312.pyc,21708,regenerable_cache
__pycache__/build_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1_terminal_accounting.cpython-312.pyc,11323,regenerable_cache
__pycache__/capture_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1_accounting.cpython-312.pyc,6348,regenerable_cache
__pycache__/cluster_parity_strict_continuum_measurement_kernel_v1.cpython-312.pyc,12773,regenerable_cache
__pycache__/cluster_parity_strict_continuum_measurement_kernel_v1.cpython-39.pyc,7995,regenerable_cache
__pycache__/cmq_highn_convergence_v2_common.cpython-312.pyc,16722,regenerable_cache
__pycache__/cmq_technical_recovery_v1.cpython-312.pyc,42126,regenerable_cache
__pycache__/collect_h2o_silicate_demo_anchors_v1.cpython-312.pyc,8127,regenerable_cache
__pycache__/compare_baseline_mcfost.cpython-312.pyc,23656,regenerable_cache
__pycache__/compare_full_r100_aperture_finalists.cpython-312.pyc,70367,regenerable_cache
__pycache__/compare_full_r100_finalists.cpython-312.pyc,47280,regenerable_cache
__pycache__/compare_tmc1a_rgb_grid_2um.cpython-312.pyc,4906,regenerable_cache
__pycache__/diagnose_cmq_task371_v2.cpython-312.pyc,4595,regenerable_cache
__pycache__/diagnose_strict3d_task024_recovery_v1.cpython-312.pyc,2739,regenerable_cache
__pycache__/diagnose_strict3d_task_quality.cpython-312.pyc,5136,regenerable_cache
__pycache__/extract_tmc1a_sed.cpython-312.pyc,15927,regenerable_cache
__pycache__/extract_tmc1a_sed.cpython-39.pyc,9584,regenerable_cache
__pycache__/finalize_h2o_3um_abundance_grid_v1.cpython-312.pyc,9828,regenerable_cache
__pycache__/finalize_h2o_3um_dust_axis_band_v1.cpython-312.pyc,11254,regenerable_cache
__pycache__/finalize_h2o_3um_dust_axis_grid_v1.cpython-312.pyc,11250,regenerable_cache
__pycache__/finalize_h2o_3um_method2_postpilot_guard_field_recovery_v1.cpython-312.pyc,35781,regenerable_cache
__pycache__/finalize_h2o_3um_method2_postpilot_recovered_v1.cpython-312.pyc,41900,regenerable_cache
__pycache__/finalize_h2o_3um_method2_postpilot_v1.cpython-312.pyc,30733,regenerable_cache
__pycache__/finalize_h2o_3um_method2_screen_v1_convergence.cpython-312.pyc,16877,regenerable_cache
__pycache__/finalize_h2o_3um_method2_screen_v1_convergence.cpython-39.pyc,10444,regenerable_cache
__pycache__/finalize_h2o_3um_method2_screen_v3_field_pilot.cpython-312.pyc,35015,regenerable_cache
__pycache__/fit_strict_continuum_method2_v1.cpython-312.pyc,41926,regenerable_cache
__pycache__/freeze_h2o_3um_method2_postpilot_guard_field_recovery_v1.cpython-312.pyc,12930,regenerable_cache
__pycache__/freeze_h2o_3um_method2_postpilot_v1.cpython-312.pyc,11097,regenerable_cache
__pycache__/freeze_h2o_3um_method2_screen_v1.cpython-312.pyc,34458,regenerable_cache
__pycache__/freeze_h2o_3um_method2_screen_v1.cpython-39.pyc,20834,regenerable_cache
__pycache__/freeze_h2o_3um_method2_screen_v3.cpython-312.pyc,39719,regenerable_cache
__pycache__/freeze_h2o_3um_observation_v2.cpython-312.pyc,57488,regenerable_cache
__pycache__/freeze_h2o_3um_observation_v3.cpython-312.pyc,75852,regenerable_cache
__pycache__/freeze_ice_feature_method2_pilot_v1.cpython-312.pyc,34958,regenerable_cache
__pycache__/freeze_ice_feature_method2_pilot_v1.cpython-39.pyc,20614,regenerable_cache
__pycache__/freeze_ice_feature_method2_pilot_v2.cpython-312.pyc,24043,regenerable_cache
__pycache__/freeze_strict_continuum_3d_q_task024_recovery_v1_workflow.cpython-312.pyc,2754,regenerable_cache
__pycache__/freeze_strict_continuum_3d_q_task024_recovery_v1_workflow.cpython-39.pyc,1931,regenerable_cache
__pycache__/freeze_strict_continuum_3d_q_v1_task024_seed41002_recovery_primary9_v1_policy.cpython-312.pyc,1848,regenerable_cache
__pycache__/freeze_strict_continuum_3d_q_v1_task024_seed41002_recovery_primary9_v1_policy.cpython-39.pyc,1313,regenerable_cache
__pycache__/freeze_strict_continuum_amendment_v1.cpython-312.pyc,5394,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_source128k_uniform_v2_v1.cpython-312.pyc,12497,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task002_failed_recovery_audit_job15165201.cpython-312.pyc,21583,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task002_recovery_v1_policy.cpython-312.pyc,8426,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task002_recovery_v1_policy.cpython-39.pyc,5528,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task002_recovery_v1_workflow.cpython-312.pyc,4339,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task002_recovery_v1_workflow.cpython-39.pyc,2669,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v1_policy.cpython-312.pyc,9472,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v1_policy.cpython-39.pyc,5921,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v1_workflow.cpython-312.pyc,5482,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v1_workflow.cpython-39.pyc,3301,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v2_policy.cpython-312.pyc,10995,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v2_policy.cpython-39.pyc,6931,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v2_workflow.cpython-312.pyc,5857,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v2_workflow.cpython-39.pyc,3531,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v3_policy.cpython-312.pyc,11055,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v3_policy.cpython-39.pyc,7002,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v3_workflow.cpython-312.pyc,5845,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_task046_recovery_v3_workflow.cpython-39.pyc,3531,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_uniform_v2_v1.cpython-312.pyc,12169,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_uniform_v2_v1_analysis_policy.cpython-312.pyc,1572,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_uniform_v2_v2.cpython-312.pyc,11262,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_v1_analysis_policy.cpython-312.pyc,1653,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_v1_analysis_policy.cpython-39.pyc,1086,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_v1_task002_seed41002_recovered_v1_policy.cpython-312.pyc,2744,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_v1_task002_seed41002_recovered_v1_workflow.cpython-312.pyc,3088,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1_aggregation_policy.cpython-312.pyc,16042,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1_analysis_policy.cpython-312.pyc,10698,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_q_v1_terminal_recoveries_v1_workflow.cpython-312.pyc,5927,regenerable_cache
__pycache__/freeze_strict_continuum_cavity_mass_v1_analysis_policy.cpython-312.pyc,1850,regenerable_cache
__pycache__/freeze_strict_continuum_polarized_plane0_v2.cpython-312.pyc,7885,regenerable_cache
__pycache__/freeze_strict_continuum_polarized_plane0_v3.cpython-312.pyc,8095,regenerable_cache
__pycache__/freeze_strict_continuum_task114_plane0_recovery_workflow.cpython-312.pyc,3810,regenerable_cache
